id,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,total_points,in_dreamteam,now_cost,ep_this,ep_next,selected_by_percent,expected_goals_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,starts_per_90,clean_sheets_per_90,name,team_name,position
1,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fábio Ferreira Vieira,Arsenal,MID
2,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,65,0.0,0.0,1.1,0.46,0.54,0.87,0.75,0.9,0.3,Gabriel Fernando de Jesus,Arsenal,FWD
3,false,90,0,0,1,0,0,0,0,1,0,0,0,25,17.2,0.9,0.0,1.8,1,0.00,0.01,0.01,0.36,0,0,0,0,0,0,0,5,false,64,3.5,4.0,30.6,0.1,0.15,0.89,0.84,1.03,0.38,Gabriel dos Santos Magalhães,Arsenal,DEF
4,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,77,0.0,0.0,5.9,0.46,0.54,0.93,0.98,1.03,0.34,Kai Havertz,Arsenal,FWD
5,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Karl Hein,Arsenal,GKP
6,false,90,0,0,1,0,0,0,0,0,0,0,3,27,12.0,2.3,8.0,2.2,1,0.00,0.02,0.02,0.36,0,0,0,0,0,0,0,9,false,56,7.0,7.5,5.1,0.03,0.08,0.78,0.74,1.02,0.41,Jurriën Timber,Arsenal,DEF
7,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,47,0.0,0.5,0.2,0.01,0.09,0.75,0.83,1.17,0.33,Jorge Luiz Frello Filho,Arsenal,MID
8,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,48,0.0,0.5,0.2,0.0,0.01,1.24,1.39,0.56,0.28,Jakub Kiwior,Arsenal,DEF
9,false,78,0,0,1,0,0,0,0,0,0,0,0,8,10.0,27.7,32.0,7.0,1,0.08,0.09,0.17,0.26,0,0,0,0,0,0,0,3,false,65,2.0,2.5,2.0,0.26,0.44,0.94,0.86,0.98,0.46,Gabriel Martinelli Silva,Arsenal,MID
10,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,50,0.0,0.0,0.0,0.2,0.38,1.14,1.68,0.93,0.19,Reiss Nelson,Fulham,MID
11,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,59,0.0,2.5,1.0,0.44,0.54,1.31,1.42,0.9,0.26,Eddie Nketiah,Crystal Palace,FWD
12,false,11,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.0,0.0,0.0,0,0.00,0.00,0.00,0.10,0,0,0,0,0,0,0,1,false,46,1.0,1.5,4.2,0.12,0.3,0.6,0.45,1.06,0.3,Ethan Nwaneri,Arsenal,MID
13,false,89,0,1,1,0,0,0,0,1,0,0,0,21,26.2,37.8,21.0,8.5,1,0.09,0.21,0.30,0.36,0,0,0,0,0,0,0,5,false,82,4.0,4.5,5.2,0.2,0.47,0.73,0.68,1.04,0.47,Martin Ødegaard,Arsenal,MID
14,false,90,0,0,0,2,0,0,0,0,0,1,0,1,6.8,0.0,0.0,0.7,1,0.00,0.00,0.00,0.36,0,0,0,0,0,0,0,1,false,44,1.0,1.0,1.2,0.0,0.0,2.33,2.38,1.0,0.1,Aaron Ramsdale,Southampton,GKP
15,false,90,0,0,1,0,0,0,0,0,0,2,0,25,23.8,0.0,0.0,2.4,1,0.00,0.00,0.00,0.36,0,0,0,0,0,0,0,6,false,55,4.5,5.0,26.3,0.0,0.0,0.85,0.83,1.0,0.38,David Raya Martin,Arsenal,GKP
16,false,90,0,0,1,0,0,0,0,0,0,0,0,9,13.0,31.5,13.0,5.8,1,0.16,0.27,0.43,0.36,0,0,0,0,0,0,0,3,false,62,6.5,7.0,2.9,0.08,0.29,0.82,0.92,1.04,0.38,Declan Rice,Arsenal,MID
17,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,102,0.0,0.2,8.6,0.3,0.7,0.75,0.92,1.14,0.43,Bukayo Saka,Arsenal,MID
18,false,90,0,0,1,0,0,0,0,0,0,0,3,27,21.4,1.8,0.0,2.3,1,0.00,0.01,0.01,0.36,0,0,0,0,0,0,0,9,false,62,5.5,6.0,23.0,0.08,0.11,0.8,0.76,1.03,0.42,William Saliba,Arsenal,DEF
19,false,71,0,0,1,0,0,0,0,0,0,0,0,13,7.0,7.8,5.0,2.0,1,0.05,0.13,0.18,0.74,0,0,0,0,0,0,0,3,false,51,2.5,2.0,8.2,0.21,0.3,0.99,1.2,1.15,0.37,Emile Smith Rowe,Fulham,MID
20,false,90,0,0,1,0,0,0,0,1,0,0,0,7,7.0,1.6,0.0,0.9,1,0.00,0.01,0.01,0.36,0,0,0,0,0,0,0,2,false,49,2.0,2.5,0.8,0.07,0.16,0.9,0.91,0.99,0.29,Thomas Partey,Arsenal,MID
21,false,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.1,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,1,false,43,1.0,1.5,0.0,0.25,0.58,1.41,0.0,0.0,0.0,Kieran Tierney,Arsenal,DEF
22,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,48,0.0,0.0,0.0,2.7,2.7,0.6,0.0,0.0,0.0,Tomiyasu Takehiro,Arsenal,DEF
23,false,90,0,0,1,0,0,0,0,0,0,0,0,9,0.0,7.2,16.0,2.2,1,0.22,0.06,0.28,0.36,0,0,0,0,0,0,0,3,false,68,2.0,2.5,3.1,0.22,0.37,0.76,0.85,1.0,0.43,Leandro Trossard,Arsenal,MID
24,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,61,0.0,0.5,2.1,0.02,0.06,1.28,0.9,0.9,0.38,Benjamin White,Arsenal,DEF
25,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,48,0.0,0.5,0.9,0.05,0.09,0.64,0.0,0.62,0.62,Oleksandr Zinchenko,Arsenal,DEF
26,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,42,0.5,0.5,0.4,0.02,0.11,1.26,1.66,1.11,0.33,Álex Moreno Lopera,Nott'm Forest,DEF
27,false,21,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0.3,0.0,0.1,0,0.00,0.00,0.00,0.13,0,0,0,0,0,0,0,1,false,49,0.5,0.5,1.3,0.38,0.42,2.51,2.16,0.85,0.08,Cameron Archer,Southampton,FWD
28,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,62,0.0,1.0,0.8,0.14,0.37,1.11,1.51,1.11,0.16,Leon Bailey,Aston Villa,MID
29,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,52,0.0,0.0,0.2,0.28,0.35,0.89,1.49,0.5,0.17,Ross Barkley,Aston Villa,MID
30,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,false,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Enzo Barrenechea,Aston Villa,MID
