id,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,now_cost,ep_this,ep_next,selected_by_percent,expected_goals_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,starts_per_90,clean_sheets_per_90,name,team_name,position
1,false,90,0,0,1,0,0,0,0,0,0,0,0,20,3.2,0.0,0.0,0.3,0,8,0,0,1,0.00,0.00,0.00,0.49,6,false,57,4.5,4.5,27.7,0.0,0.01,0.63,0.43,1.0,0.57,David Raya Martín,Arsenal,GKP
2,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,43,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Kepa Arrizabalaga Revuelta,Arsenal,GKP
3,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,40,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,Karl Hein,Arsenal,GKP
4,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,40,0.5,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Tommy Setford,Arsenal,GKP
5,false,90,0,0,1,0,0,0,0,0,0,0,1,33,24.6,2.0,2.0,2.9,10,0,2,12,1,0.00,0.03,0.03,0.49,9,false,62,6.5,8.7,28.7,0.07,0.08,0.63,0.43,1.0,0.57,Gabriel dos Santos Magalhães,Arsenal,DEF
6,false,90,0,0,1,0,0,0,0,0,0,0,0,30,28.2,2.2,0.0,3.0,8,4,0,8,1,0.00,0.02,0.02,0.49,6,false,60,2.7,2.7,12.7,0.03,0.06,0.72,0.22,1.1,0.66,William Saliba,Arsenal,DEF
7,false,74,0,0,1,0,0,0,0,0,0,0,0,26,8.8,5.4,19.0,3.3,3,5,3,6,1,0.17,0.02,0.19,0.36,6,false,57,4.0,4.0,14.8,0.32,0.35,0.59,0.52,1.2,0.69,Riccardo Calafiori,Arsenal,DEF
8,false,90,0,1,1,0,0,0,0,0,0,0,2,43,20.2,16.8,29.0,6.6,3,3,6,9,1,0.16,0.03,0.19,0.49,11,true,59,6.0,6.0,16.9,0.33,0.4,0.57,0.52,1.04,0.52,Jurriën Timber,Arsenal,DEF
9,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,54,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Jakub Kiwior,Arsenal,DEF
10,false,15,0,0,0,0,0,0,0,0,0,0,0,2,3.2,0.3,2.0,0.6,2,1,0,2,0,0.00,0.00,0.00,0.13,1,false,52,1.3,1.3,1.9,0.0,0.0,1.01,0.0,0.0,0.0,Myles Lewis-Skelly,Arsenal,DEF
11,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,54,0.5,0.5,0.4,0.01,0.02,1.12,0.0,1.29,1.29,Benjamin White,Arsenal,DEF
12,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,49,0.1,0.1,0.3,0.02,0.1,1.02,1.0,1.0,0.0,Oleksandr Zinchenko,Nott'm Forest,DEF
13,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,39,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Brayden Clarke,Arsenal,DEF
14,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,39,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Maldini Kacurri,Arsenal,DEF
15,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,39,0.5,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Josh Nichols,Arsenal,DEF
16,false,90,1,0,1,0,0,0,0,0,0,0,0,22,38.8,23.6,31.0,9.3,1,4,2,7,1,0.84,1.11,1.95,0.49,8,false,99,3.3,3.3,9.2,0.32,0.7,0.79,0.26,1.04,0.52,Bukayo Saka,Arsenal,MID
17,false,29,0,0,0,0,0,0,0,0,0,0,0,4,3.2,16.5,0.0,2.0,0,0,1,1,1,0.00,0.21,0.21,0.34,1,false,79,2.0,1.5,1.9,0.06,0.42,1.06,0.45,1.79,0.45,Martin Ødegaard,Arsenal,MID
18,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,69,0.0,0.0,0.8,0.09,0.34,0.6,0.59,1.18,0.59,Noni Madueke,Arsenal,MID
19,false,11,0,0,0,0,0,0,0,0,0,0,0,3,2.0,14.0,2.0,1.8,1,1,0,2,0,0.00,0.06,0.06,0.13,1,false,69,3.0,3.0,1.2,0.11,0.15,0.77,0.0,0.99,0.5,Gabriel Martinelli Silva,Arsenal,MID
20,false,74,0,0,1,0,0,0,0,0,0,0,0,16,10.8,28.5,20.0,5.9,1,1,2,4,1,0.12,0.09,0.21,0.36,3,false,69,3.3,3.3,0.3,0.2,0.38,0.59,0.62,0.92,0.31,Leandro Trossard,Arsenal,MID
21,false,78,1,0,1,0,0,0,0,0,0,0,3,45,45.6,40.4,23.0,10.9,2,3,0,5,1,0.32,0.12,0.44,0.36,11,true,65,6.5,4.9,8.7,0.08,0.27,0.61,0.5,1.0,0.5,Declan Rice,Arsenal,MID
22,false,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.7,12.0,1.2,0,0,0,0,0,0.16,0.00,0.16,0.13,1,false,59,3.3,3.3,0.6,0.13,0.17,0.64,0.37,1.12,0.74,Mikel Merino Zazón,Arsenal,MID
23,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fábio Ferreira Vieira,Arsenal,MID
24,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,53,0.5,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Christian Nørgaard,Arsenal,MID
25,false,15,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.1,1.0,0.1,0,0,0,0,0,0.02,0.04,0.06,0.13,1,false,53,1.7,1.7,0.2,0.12,0.17,0.2,0.0,0.0,0.62,Ethan Nwaneri,Arsenal,MID
26,false,60,0,0,1,0,0,0,0,0,0,0,0,20,22.6,18.4,0.0,4.1,3,3,5,11,0,0.00,0.16,0.16,0.15,3,false,55,6.3,6.3,4.4,0.04,0.16,0.61,0.46,0.91,0.61,Martín Zubimendi Ibáñez,Arsenal,MID
27,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,49,-0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Reiss Nelson,Brentford,MID
28,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,45,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Ismeal Kabia,Arsenal,MID
29,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,45,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Albert Sambi Lokonga,Arsenal,MID
30,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,73,0.0,0.0,0.4,0.0,0.03,2.46,0.0,0.0,0.0,Kai Havertz,Arsenal,FWD
31,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gabriel Fernando de Jesus,Arsenal,FWD
32,false,90,0,0,0,1,0,0,0,1,0,1,0,9,11.4,0.0,0.0,1.1,1,8,0,0,1,0.00,0.00,0.00,0.42,1,false,50,2.8,2.4,2.1,0.0,0.01,1.14,0.8,1.0,0.2,Emiliano Martínez Romero,Aston Villa,GKP
33,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,44,0.5,0.0,0.6,0.0,0.0,2.05,1.5,1.0,0.5,Marco Bizot,Aston Villa,GKP
34,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,40,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Joe Gauci,Aston Villa,GKP
35,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Filip Marschall,Aston Villa,GKP
36,false,83,0,0,0,1,0,0,0,0,0,0,0,9,10.6,16.4,9.0,3.6,2,2,1,3,1,0.01,0.03,0.04,0.39,2,false,46,5.3,4.8,5.4,0.01,0.09,1.31,0.89,1.04,0.3,Matty Cash,Aston Villa,DEF
37,false,90,0,0,0,1,0,0,0,1,0,0,0,20,27.6,81.8,17.0,12.6,4,4,2,6,1,0.08,0.58,0.66,0.42,1,false,45,3.5,3.0,1.9,0.04,0.25,1.24,0.55,1.11,0.37,Lucas Digne,Aston Villa,DEF
38,false,90,0,0,0,1,0,0,0,0,0,0,0,15,15.8,1.1,19.0,3.6,3,4,0,3,1,0.04,0.01,0.05,0.42,2,false,45,3.5,3.0,10.6,0.01,0.02,1.44,1.05,1.05,0.35,Ezri Konsa Ngoyo,Aston Villa,DEF
39,false,1,0,0,0,0,0,0,0,0,0,0,0,6,2.0,0.0,0.0,0.2,0,0,1,1,0,0.00,0.00,0.00,0.00,1,false,43,0.7,0.2,0.5,0.07,0.2,1.95,2.54,0.63,0.0,Ian Maatsen,Aston Villa,DEF
40,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,45,1.0,0.9,1.2,0.06,0.08,1.63,1.12,1.12,0.37,Tyrone Mings,Aston Villa,DEF
41,false,90,0,0,0,1,0,0,0,0,0,0,0,20,29.4,1.6,4.0,3.5,10,7,3,13,1,0.03,0.01,0.04,0.42,4,false,44,1.7,1.2,0.3,0.04,0.09,1.12,1.06,0.71,0.0,Pau Torres,Aston Villa,DEF
42,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,39,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,Andrés García,Aston Villa,DEF
43,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,40,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Álex Moreno Lopera,Aston Villa,DEF
44,false,89,0,0,0,1,0,0,0,0,0,0,0,8,3.8,12.0,0.0,1.6,0,2,0,0,1,0.00,0.01,0.01,0.39,2,false,40,4.0,3.5,0.7,0.0,0.03,1.05,0.64,0.96,0.32,Lamare Bogarde,Aston Villa,DEF
45,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,40,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,Lino da Cruz Sousa,Aston Villa,DEF
46,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,40,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Yasin Özcan,Aston Villa,DEF
47,false,90,0,1,0,1,0,0,0,0,0,0,0,21,30.6,13.3,33.0,7.7,2,5,2,9,1,0.24,0.08,0.32,0.42,5,false,69,4.3,3.8,5.5,0.07,0.16,1.42,1.01,1.01,0.29,Morgan Rogers,Aston Villa,MID
48,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,59,0.0,0.1,0.7,0.04,0.15,1.85,1.14,1.14,0.29,Youri Tielemans,Aston Villa,MID
49,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,false,55,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Leon Bailey,Aston Villa,MID
